期刊全称,ISO缩写,ISSN,eISSN,投稿网址,seed_source,note,updated
REPRODUCTIVE BIOMEDICINE ONLINE,REPROD BIOMED ONLINE,1472-6483,1472-6491,https://www.editorialmanager.com/rbmo/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BMC Womens Health,BMC WOMENS HEALTH,,1472-6874,https://www.editorialmanager.com/bmwh/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,0001-6349,1600-0412,https://mc.manuscriptcentral.com/aogs,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,BJOG-INT J OBSTET GY,1470-0328,1471-0528,https://mc.manuscriptcentral.com/bjog,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Womens Health,WOMENS HEALTH,1745-5057,1745-5065,https://mc.manuscriptcentral.com/whe,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
European Journal of Obstetrics & Gynecology and Reproductive Biology,EUR J OBSTET GYN R B,0301-2115,1872-7654,https://www.editorialmanager.com/euro/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,0932-0067,1432-0711,https://submission.springernature.com/new-submission/404/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,0020-7292,1879-3479,https://mc.manuscriptcentral.com/ijgo,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Reproductive Sciences,REPROD SCI,1933-7191,1933-7205,https://mc.manuscriptcentral.com/reprodsci,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Journal of Minimally Invasive Gynecology,J MINIM INVAS GYN,1553-4650,1553-4669,https://www.editorialmanager.com/tjmig/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
FERTILITY AND STERILITY,FERTIL STERIL,0015-0282,1556-5653,https://www.editorialmanager.com/fns/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
HUMAN REPRODUCTION,HUM REPROD,0268-1161,1460-2350,https://mc.manuscriptcentral.com/humrep,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Journal of Ovarian Research,J OVARIAN RES,,1757-2215,https://www.editorialmanager.com/jovr/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AM J OBSTET GYNECOL,0002-9378,1097-6868,https://www.editorialmanager.com/ajog/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
OBSTETRICS AND GYNECOLOGY,OBSTET GYNECOL,0029-7844,0029-7844,https://www.editorialmanager.com/ong/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,BIOL PSYCHIAT-COGN N,2451-9022,2451-9030,https://www.editorialmanager.com/bpsc/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,EUR ARCH PSY CLIN N,0940-1334,1433-8491,https://www.editorialmanager.com/eapc/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,0278-5846,1878-4216,https://www.editorialmanager.com/pnp/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF PSYCHIATRIC RESEARCH,J PSYCHIATR RES,0022-3956,1879-1379,https://www.editorialmanager.com/jpsychiatrres/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Frontiers in Psychiatry,FRONT PSYCHIATRY,1664-0640,1664-0640,https://www.frontiersin.org/journals/psychiatry/for-authors,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF HEADACHE AND PAIN,J HEADACHE PAIN,1129-2369,1129-2377,https://www.editorialmanager.com/tjhp/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
PSYCHIATRY RESEARCH,PSYCHIAT RES,0165-1781,1872-7123,https://www.editorialmanager.com/psy/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,0165-0327,1573-2517,https://www.editorialmanager.com/jafd/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BMC Nephrology,BMC NEPHROL,,1471-2369,https://submission.nature.com/new-submission/12882/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Gynecologic Oncology,GYNECOL ONCOL,0090-8258,1095-6859,https://www.editorialmanager.com/ygyno/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Journal of Gynecologic Oncology,J GYNECOL ONCOL,2005-0380,2005-0399,https://www.editorialmanager.com/jgynecoloncol/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,INT J GYNECOL CANCER,1048-891X,1525-1438,https://www.editorialmanager.com/intjgc/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
