序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
11,2补-Q1且IF5到10,5,Frontiers in Endocrinology,FRONT ENDOCRINOL,1664-2392,1664-2392,5.7,6.0,Q1,35/198,Q1,Q1,0.97,82.6,1936.0,86545.0,ENDOCRINOLOGY & METABOLISM,ENDOCRINOLOGY & METABOLISM(JIF Q1/JCI Q1),FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Endocrinology+aims+scope+instructions+for+authors+APC
12,2补-Q1且IF5到10,5,Communications Biology,COMMUN BIOL,,2399-3642,5.8,6.3,Q1,9/106,Q1,Q1,1.66,92.0,1886.0,46196.0,BIOLOGY,BIOLOGY(JIF Q1/JCI Q1),NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=Communications+Biology+aims+scope+instructions+for+authors+APC
13,2补-Q1且IF5到10,5,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,0147-6513,1090-2414,6.6,6.8,Q1,9/106,Q1,Q1,1.37,92.0,1827.0,80594.0,TOXICOLOGY,TOXICOLOGY(JIF Q1/JCI Q1),ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=ECOTOXICOLOGY+AND+ENVIRONMENTAL+SAFETY+aims+scope+instructions+for+authors+APC
14,2补-Q1且IF5到10,5,JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,0165-0327,1573-2517,5.7,6.3,Q1,31/296,Q1,Q1,1.51,89.7,1802.0,85558.0,CLINICAL NEUROLOGY; PSYCHIATRY,CLINICAL NEUROLOGY(JIF Q1/JCI Q1) | PSYCHIATRY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,"SCIE; SCIE, SSCI",混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=JOURNAL+OF+AFFECTIVE+DISORDERS+aims+scope+instructions+for+authors+APC
15,2补-Q1且IF5到10,5,International Immunopharmacology,INT IMMUNOPHARMACOL,1567-5769,1878-1705,5.6,5.7,Q1,55/356,Q1,Q1,1.28,84.7,1707.0,56435.0,IMMUNOLOGY; PHARMACOLOGY & PHARMACY,IMMUNOLOGY(JIF Q1/JCI Q1) | PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=International+Immunopharmacology+aims+scope+instructions+for+authors+APC
16,2补-Q1且IF5到10,5,BMC NURSING,BMC NURS,1472-6955,1472-6955,5.2,5.6,Q1,5/194,Q1,Q1,2.18,97.7,1588.0,15582.0,NURSING,NURSING(JIF Q1/JCI Q1),BMC,BMC,是,"SCIE, SSCI",全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+NURSING+aims+scope+instructions+for+authors+APC
17,2补-Q1且IF5到10,5,Pharmaceuticals,PHARMACEUTICALS-BASE,,1424-8247,5.7,5.5,Q1,52/356,Q1,Q1,1.05,85.5,1349.0,44567.0,"CHEMISTRY, MEDICINAL; PHARMACOLOGY & PHARMACY","CHEMISTRY, MEDICINAL(JIF Q1/JCI Q1) | PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Pharmaceuticals+aims+scope+instructions+for+authors+APC
18,2补-Q1且IF5到10,5,Journal of Translational Medicine,J TRANSL MED,,1479-5876,9.7,8.8,Q1,20/191,Q1,Q1,1.8,89.8,1158.0,45171.0,"MEDICINE, RESEARCH & EXPERIMENTAL","MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q1/JCI Q1)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Journal+of+Translational+Medicine+aims+scope+instructions+for+authors+APC
19,2补-Q1且IF5到10,5,Pharmaceutics,PHARMACEUTICS,,1999-4923,6.9,6.7,Q1,34/356,Q1,Q1,1.26,90.6,1146.0,82501.0,PHARMACOLOGY & PHARMACY,PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Pharmaceutics+aims+scope+instructions+for+authors+APC
20,2补-Q1且IF5到10,5,Frontiers in Cellular and Infection Microbiology,FRONT CELL INFECT MI,2235-2988,2235-2988,5.5,6.1,Q1,36/167,Q2,Q2,0.94,78.7,1146.0,52581.0,IMMUNOLOGY; MICROBIOLOGY,IMMUNOLOGY(JIF Q1/JCI Q2) | MICROBIOLOGY(JIF Q1/JCI Q2),FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Cellular+and+Infection+Microbiology+aims+scope+instructions+for+authors+APC
