序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
540,3-Q2,2,PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,0921-9668,1573-9104,3.6,4.0,Q2,76/285,Q2,Q2,0.69,61.0,151.0,5433.0,NUTRITION & DIETETICS,NUTRITION & DIETETICS(JIF Q2/JCI Q2),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=PLANT+FOODS+FOR+HUMAN+NUTRITION+aims+scope+instructions+for+authors+APC
541,3-Q2,2,Metabolomics,METABOLOMICS,1573-3882,1573-3890,3.5,3.9,Q2,87/198,Q2,Q2,0.74,56.3,150.0,7068.0,ENDOCRINOLOGY & METABOLISM,ENDOCRINOLOGY & METABOLISM(JIF Q2/JCI Q2),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Metabolomics+aims+scope+instructions+for+authors+APC
542,3-Q2,2,DRUG AND ALCOHOL REVIEW,DRUG ALCOHOL REV,0959-5236,1465-3362,2.9,3.2,Q2,17/61,Q2,Q2,0.87,73.0,150.0,5141.0,SUBSTANCE ABUSE,SUBSTANCE ABUSE(JIF Q2/JCI Q2),WILEY,Wiley,否,SSCI,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=DRUG+AND+ALCOHOL+REVIEW+aims+scope+instructions+for+authors+APC
543,3-Q2,2,Urolithiasis,UROLITHIASIS,2194-7228,2194-7236,2.6,3.0,Q2,52/134,Q2,Q2,0.9,61.6,150.0,2757.0,UROLOGY & NEPHROLOGY,UROLOGY & NEPHROLOGY(JIF Q2/JCI Q2),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Urolithiasis+aims+scope+instructions+for+authors+APC
544,3-Q2,2,Journal of Health Organization and Management,J HEALTH ORGAN MANAG,1477-7266,1758-7247,2.4,2.5,Q2,56/125,Q2,Q2,0.89,55.6,150.0,1950.0,HEALTH POLICY & SERVICES,HEALTH POLICY & SERVICES(JIF Q2/JCI Q2),EMERALD GROUP PUBLISHING LTD,其他,否,SSCI,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Journal+of+Health+Organization+and+Management+aims+scope+instructions+for+authors+APC
545,3-Q2,2,International Journal of Sports Physical Therapy,INT J SPORTS PHYS TH,2159-2896,2159-2896,2.4,2.9,Q2,53/136,Q2,Q2,0.74,61.4,150.0,4208.0,SPORT SCIENCES,SPORT SCIENCES(JIF Q2/JCI Q2),NORTH AMER SPORTS MEDICINE INST-NASMI,其他,否,ESCI,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=International+Journal+of+Sports+Physical+Therapy+aims+scope+instructions+for+authors+APC
546,3-Q2,2,MOLECULAR GENETICS AND METABOLISM,MOL GENET METAB,1096-7192,1096-7206,4.0,4.1,Q2,53/192,Q2,Q2,0.82,72.7,149.0,9226.0,"ENDOCRINOLOGY & METABOLISM; GENETICS & HEREDITY; MEDICINE, RESEARCH & EXPERIMENTAL","ENDOCRINOLOGY & METABOLISM(JIF Q2/JCI Q2) | GENETICS & HEREDITY(JIF Q2/JCI Q2) | MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q2/JCI Q2)",ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=MOLECULAR+GENETICS+AND+METABOLISM+aims+scope+instructions+for+authors+APC
547,3-Q2,2,ENZYME AND MICROBIAL TECHNOLOGY,ENZYME MICROB TECH,0141-0229,1879-0909,3.9,3.7,Q2,75/180,Q2,Q2,0.82,58.6,149.0,9627.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q2/JCI Q2),ELSEVIER SCIENCE INC,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=ENZYME+AND+MICROBIAL+TECHNOLOGY+aims+scope+instructions+for+authors+APC
548,3-Q2,2,AAPS Journal,AAPS J,1550-7416,1550-7416,3.4,4.3,Q2,143/356,Q2,Q2,0.88,60.0,149.0,8411.0,PHARMACOLOGY & PHARMACY,PHARMACOLOGY & PHARMACY(JIF Q2/JCI Q2),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=AAPS+Journal+aims+scope+instructions+for+authors+APC
549,3-Q2,2,Colorectal Disease,COLORECTAL DIS,1462-8910,1463-1318,2.3,2.9,Q2,105/321,Q2,Q2,0.76,67.4,149.0,8273.0,GASTROENTEROLOGY & HEPATOLOGY; SURGERY,GASTROENTEROLOGY & HEPATOLOGY(JIF Q3/JCI Q2) | SURGERY(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Colorectal+Disease+aims+scope+instructions+for+authors+APC
550,3-Q2,2,European Journal of Dentistry,EUR J DENT,1305-7456,1305-7464,2.2,,Q2,73/165,Q2,Q2,0.99,56.1,149.0,3473.0,"DENTISTRY, ORAL SURGERY & MEDICINE","DENTISTRY, ORAL SURGERY & MEDICINE(JIF Q2/JCI Q2)",Thieme Medical and Scientific Publishers Pvt Ltd,Thieme,否,ESCI,混合为主,订阅路线通常无APC；OA另计,中低,https://www.thieme.com/en-us/open-access,https://www.google.com/search?q=European+Journal+of+Dentistry+aims+scope+instructions+for+authors+APC
551,3-Q2,2,JOURNAL OF GLAUCOMA,J GLAUCOMA,1057-0829,1536-481X,2.2,2.1,Q2,43/98,Q2,Q2,0.94,56.6,149.0,5720.0,OPHTHALMOLOGY,OPHTHALMOLOGY(JIF Q2/JCI Q2),LIPPINCOTT WILLIAMS & WILKINS,Wolters Kluwer/LWW,是,SCIE,混合为主,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑",中,https://wkauthorservices.editage.com/open-access/,https://www.google.com/search?q=JOURNAL+OF+GLAUCOMA+aims+scope+instructions+for+authors+APC
552,3-Q2,2,JOURNAL OF CRITICAL CARE,J CRIT CARE,0883-9441,1557-8615,3.5,3.4,Q2,22/66,Q2,Q2,0.76,67.4,148.0,9756.0,CRITICAL CARE MEDICINE,CRITICAL CARE MEDICINE(JIF Q2/JCI Q2),W B SAUNDERS CO-ELSEVIER INC,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=JOURNAL+OF+CRITICAL+CARE+aims+scope+instructions+for+authors+APC
553,3-Q2,2,ANIMAL REPRODUCTION SCIENCE,ANIM REPROD SCI,0378-4320,1873-2232,2.6,2.8,Q2,33/170,Q1,Q1,1.06,53.4,148.0,9168.0,REPRODUCTIVE BIOLOGY,REPRODUCTIVE BIOLOGY(JIF Q2/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=ANIMAL+REPRODUCTION+SCIENCE+aims+scope+instructions+for+authors+APC
554,3-Q2,2,JOURNAL OF WOMENS HEALTH,J WOMENS HEALTH,1540-9996,1931-843X,1.8,3.2,Q2,24/71,Q1,Q1,0.82,62.4,148.0,9072.0,"MEDICINE, GENERAL & INTERNAL; OBSTETRICS & GYNECOLOGY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q1) | OBSTETRICS & GYNECOLOGY(JIF Q3/JCI Q2) | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q3/JCI Q2)",SAGE PUBLICATIONS INC,SAGE,是,"SCIE; SCIE, SSCI; SSCI",混合为主,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000",中,https://us.sagepub.com/en-us/nam/sage-choice,https://www.google.com/search?q=JOURNAL+OF+WOMENS+HEALTH+aims+scope+instructions+for+authors+APC
555,3-Q2,2,Clinical and Experimental Nephrology,CLIN EXP NEPHROL,1342-1751,1437-7799,2.4,2.3,Q2,57/134,Q2,Q2,0.7,57.8,147.0,3882.0,UROLOGY & NEPHROLOGY,UROLOGY & NEPHROLOGY(JIF Q2/JCI Q2),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Clinical+and+Experimental+Nephrology+aims+scope+instructions+for+authors+APC
556,3-Q2,2,Journal of Obstetrics and Gynaecology Canada,J OBSTET GYNAECOL CA,1701-2163,1701-2163,2.3,2.5,Q2,60/143,Q2,Q2,0.76,58.4,147.0,4360.0,OBSTETRICS & GYNECOLOGY,OBSTETRICS & GYNECOLOGY(JIF Q2/JCI Q2),ELSEVIER INC,Elsevier,否,ESCI,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Journal+of+Obstetrics+and+Gynaecology+Canada+aims+scope+instructions+for+authors+APC
557,3-Q2,2,JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,0897-7151,1557-9042,3.8,4.5,Q2,80/296,Q2,Q2,0.96,73.1,146.0,16986.0,CLINICAL NEUROLOGY; CRITICAL CARE MEDICINE; NEUROSCIENCES,CLINICAL NEUROLOGY(JIF Q2/JCI Q2) | CRITICAL CARE MEDICINE(JIF Q2/JCI Q2) | NEUROSCIENCES(JIF Q2/JCI Q2),SAGE PUBLICATIONS INC,SAGE,是,SCIE,混合为主,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000",中,https://us.sagepub.com/en-us/nam/sage-choice,https://www.google.com/search?q=JOURNAL+OF+NEUROTRAUMA+aims+scope+instructions+for+authors+APC
558,3-Q2,2,MOLECULAR AND CELLULAR ENDOCRINOLOGY,MOL CELL ENDOCRINOL,0303-7207,1872-8057,3.4,4.3,Q2,95/198,Q2,Q2,0.74,52.3,146.0,16555.0,CELL BIOLOGY; ENDOCRINOLOGY & METABOLISM,CELL BIOLOGY(JIF Q3/JCI Q2) | ENDOCRINOLOGY & METABOLISM(JIF Q2/JCI Q2),ELSEVIER IRELAND LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=MOLECULAR+AND+CELLULAR+ENDOCRINOLOGY+aims+scope+instructions+for+authors+APC
559,3-Q2,2,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INT J SOC PSYCHIATR,0020-7640,1741-2854,2.7,3.6,Q2,134/293,Q3,Q3,0.7,54.4,146.0,5458.0,PSYCHIATRY,PSYCHIATRY(JIF Q2/JCI Q3),SAGE PUBLICATIONS LTD,SAGE,否,SSCI,混合为主,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000",中,https://us.sagepub.com/en-us/nam/sage-choice,https://www.google.com/search?q=INTERNATIONAL+JOURNAL+OF+SOCIAL+PSYCHIATRY+aims+scope+instructions+for+authors+APC
560,3-Q2,2,JOURNAL OF CLINICAL LABORATORY ANALYSIS,J CLIN LAB ANAL,0887-8013,1098-2825,2.5,2.8,Q2,13/33,Q2,Q2,1.22,62.1,146.0,8171.0,MEDICAL LABORATORY TECHNOLOGY,MEDICAL LABORATORY TECHNOLOGY(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=JOURNAL+OF+CLINICAL+LABORATORY+ANALYSIS+aims+scope+instructions+for+authors+APC
561,3-Q2,2,Journal of Clinical Pediatric Dentistry,J CLIN PEDIATR DENT,1053-4628,1557-5268,2.3,2.1,Q2,55/190,Q2,Q2,0.92,71.3,146.0,2412.0,"DENTISTRY, ORAL SURGERY & MEDICINE; PEDIATRICS","DENTISTRY, ORAL SURGERY & MEDICINE(JIF Q2/JCI Q2) | PEDIATRICS(JIF Q2/JCI Q2)",MRE PRESS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Journal+of+Clinical+Pediatric+Dentistry+aims+scope+instructions+for+authors+APC
562,3-Q2,2,JMA Journal,JMA J,2433-328X,2433-3298,2.0,,Q2,113/336,Q2,Q2,0.48,66.5,146.0,887.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q2)",JAPAN MEDICAL ASSOC-JAPANESE ASSOC MEDICAL SCIENCES,其他,否,ESCI,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=JMA+Journal+aims+scope+instructions+for+authors+APC
563,3-Q2,2,Journal of Hospital Medicine,J HOSP MED,1553-5592,1553-5606,1.8,2.0,Q2,127/336,Q2,Q2,0.64,62.4,146.0,4255.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q2)",WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Journal+of+Hospital+Medicine+aims+scope+instructions+for+authors+APC
564,3-Q2,2,INFLAMMATION,INFLAMMATION,0360-3997,1573-2576,5.4,5.9,Q2,47/183,Q2,Q2,0.87,74.6,145.0,11490.0,CELL BIOLOGY; IMMUNOLOGY,CELL BIOLOGY(JIF Q2/JCI Q2) | IMMUNOLOGY(JIF Q2/JCI Q2),SPRINGER/PLENUM PUBLISHERS,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=INFLAMMATION+aims+scope+instructions+for+authors+APC
565,3-Q2,2,SAGE Open Medicine,SAGE OPEN MED,2050-3121,2050-3121,2.2,3.0,Q2,104/336,Q2,Q2,0.59,69.2,145.0,5517.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q2)",SAGE PUBLICATIONS INC,SAGE,否,ESCI,混合为主,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000",中,https://us.sagepub.com/en-us/nam/sage-choice,https://www.google.com/search?q=SAGE+Open+Medicine+aims+scope+instructions+for+authors+APC
566,3-Q2,2,Synthetic and Systems Biotechnology,SYN SYST BIOTECHNO,2405-805X,2405-805X,4.8,5.2,Q2,47/180,Q1,Q1,1.01,74.2,144.0,2468.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q2/JCI Q1),KEAI PUBLISHING LTD,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Synthetic+and+Systems+Biotechnology+aims+scope+instructions+for+authors+APC
567,3-Q2,2,HEPATOLOGY RESEARCH,HEPATOL RES,1386-6346,1872-034X,3.7,3.3,Q2,49/153,Q2,Q2,0.88,68.3,144.0,4744.0,GASTROENTEROLOGY & HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=HEPATOLOGY+RESEARCH+aims+scope+instructions+for+authors+APC
568,3-Q2,2,MicrobiologyOpen,MICROBIOLOGYOPEN,2045-8827,2045-8827,3.6,4.3,Q2,81/167,Q2,Q2,0.79,51.8,144.0,4261.0,MICROBIOLOGY,MICROBIOLOGY(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=MicrobiologyOpen+aims+scope+instructions+for+authors+APC
569,3-Q2,2,CONTRACEPTION,CONTRACEPTION,0010-7824,1879-0518,2.5,2.6,Q2,53/143,Q2,Q2,0.89,63.3,144.0,7305.0,OBSTETRICS & GYNECOLOGY,OBSTETRICS & GYNECOLOGY(JIF Q2/JCI Q2),ELSEVIER SCIENCE INC,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=CONTRACEPTION+aims+scope+instructions+for+authors+APC
570,3-Q2,2,CHEMICAL RESEARCH IN TOXICOLOGY,CHEM RES TOXICOL,0893-228X,1520-5010,4.1,4.2,Q2,29/106,Q2,Q2,0.79,73.1,143.0,14024.0,"CHEMISTRY, MEDICINAL; TOXICOLOGY","CHEMISTRY, MEDICINAL(JIF Q2/JCI Q2) | TOXICOLOGY(JIF Q2/JCI Q2)",AMER CHEMICAL SOC,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=CHEMICAL+RESEARCH+IN+TOXICOLOGY+aims+scope+instructions+for+authors+APC
571,3-Q2,2,Clinical Lung Cancer,CLIN LUNG CANCER,1525-7304,1938-0690,3.9,3.6,Q2,120/333,Q2,Q2,0.76,64.1,143.0,5151.0,ONCOLOGY,ONCOLOGY(JIF Q2/JCI Q2),"CIG MEDIA GROUP, LP",其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Clinical+Lung+Cancer+aims+scope+instructions+for+authors+APC
572,3-Q2,2,Biofuels Bioproducts & Biorefining-Biofpr,BIOFUEL BIOPROD BIOR,1932-104X,1932-1031,3.8,4.0,Q2,80/180,Q3,Q3,0.49,55.8,143.0,5203.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q2/JCI Q3),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Biofuels+Bioproducts+&+Biorefining-Biofpr+aims+scope+instructions+for+authors+APC
573,3-Q2,2,World Journal of Clinical Oncology,WORLD J CLIN ONCOL,2218-4333,2218-4333,3.6,3.8,Q2,132/333,Q3,Q3,0.49,60.5,143.0,2706.0,ONCOLOGY,ONCOLOGY(JIF Q2/JCI Q3),BAISHIDENG PUBLISHING GROUP INC,其他,否,ESCI,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=World+Journal+of+Clinical+Oncology+aims+scope+instructions+for+authors+APC
574,3-Q2,2,Annals of Gastroenterological Surgery,ANN GASTROENT SURG,2475-0328,2475-0328,3.2,3.4,Q2,63/153,Q2,Q2,0.61,59.2,143.0,2427.0,GASTROENTEROLOGY & HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY(JIF Q2/JCI Q2),WILEY-V C H VERLAG GMBH,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Annals+of+Gastroenterological+Surgery+aims+scope+instructions+for+authors+APC
575,3-Q2,2,CURRENT PHARMACEUTICAL DESIGN,CURR PHARM DESIGN,1381-6128,1873-4286,3.2,3.2,Q2,156/356,Q3,Q3,0.5,56.3,143.0,20926.0,PHARMACOLOGY & PHARMACY,PHARMACOLOGY & PHARMACY(JIF Q2/JCI Q3),BENTHAM SCIENCE PUBL LTD,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=CURRENT+PHARMACEUTICAL+DESIGN+aims+scope+instructions+for+authors+APC
576,3-Q2,2,Archives of Osteoporosis,ARCH OSTEOPOROS,1862-3522,1862-3514,2.7,3.5,Q2,39/147,Q1,Q1,1.01,73.8,143.0,4196.0,ENDOCRINOLOGY & METABOLISM; ORTHOPEDICS,ENDOCRINOLOGY & METABOLISM(JIF Q3/JCI Q1) | ORTHOPEDICS(JIF Q2/JCI Q2),SPRINGER LONDON LTD,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Archives+of+Osteoporosis+aims+scope+instructions+for+authors+APC
577,3-Q2,2,SCANDINAVIAN JOURNAL OF CARING SCIENCES,SCAND J CARING SCI,0283-9318,1471-6712,2.1,2.8,Q2,78/194,Q2,Q2,0.8,60.1,143.0,4612.0,NURSING,NURSING(JIF Q2/JCI Q2),WILEY,Wiley,否,SSCI,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=SCANDINAVIAN+JOURNAL+OF+CARING+SCIENCES+aims+scope+instructions+for+authors+APC
578,3-Q2,2,MOLECULAR AND CELLULAR BIOCHEMISTRY,MOL CELL BIOCHEM,0300-8177,1573-4919,4.7,4.4,Q2,86/207,Q3,Q3,0.57,58.7,142.0,15317.0,CELL BIOLOGY,CELL BIOLOGY(JIF Q2/JCI Q3),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=MOLECULAR+AND+CELLULAR+BIOCHEMISTRY+aims+scope+instructions+for+authors+APC
579,3-Q2,2,MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,1055-7903,1095-9513,4.0,4.1,Q2,11/54,Q1,Q1,1.01,72.7,142.0,21037.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q1) | GENETICS & HEREDITY(JIF Q2/JCI Q1),ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=MOLECULAR+PHYLOGENETICS+AND+EVOLUTION+aims+scope+instructions+for+authors+APC
580,3-Q2,2,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,1474-905X,1474-9092,3.5,3.2,Q2,24/81,Q2,Q2,0.64,50.5,142.0,8046.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q2),SPRINGERNATURE,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=PHOTOCHEMICAL+&+PHOTOBIOLOGICAL+SCIENCES+aims+scope+instructions+for+authors+APC
581,3-Q2,2,HIV MEDICINE,HIV MED,1464-2662,1468-1293,3.2,3.1,Q2,55/141,Q2,Q2,0.79,61.3,142.0,3330.0,INFECTIOUS DISEASES,INFECTIOUS DISEASES(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=HIV+MEDICINE+aims+scope+instructions+for+authors+APC
582,3-Q2,2,CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,0009-9120,1873-2933,2.3,2.5,Q2,14/33,Q2,Q2,1.01,59.1,142.0,9154.0,MEDICAL LABORATORY TECHNOLOGY,MEDICAL LABORATORY TECHNOLOGY(JIF Q2/JCI Q2),PERGAMON-ELSEVIER SCIENCE LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=CLINICAL+BIOCHEMISTRY+aims+scope+instructions+for+authors+APC
583,3-Q2,2,ARTIFICIAL ORGANS,ARTIF ORGANS,0160-564X,1525-1594,2.2,2.3,Q2,14/30,Q3,Q3,0.51,55.0,142.0,5238.0,"ENGINEERING, BIOMEDICAL; TRANSPLANTATION","ENGINEERING, BIOMEDICAL(JIF Q3/JCI Q3) | TRANSPLANTATION(JIF Q2/JCI Q3)",WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=ARTIFICIAL+ORGANS+aims+scope+instructions+for+authors+APC
584,3-Q2,2,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,1745-7270,4.5,4.3,Q2,13/81,Q2,Q1,0.84,68.8,141.0,6868.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q2),SCIENCE PRESS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=ACTA+BIOCHIMICA+ET+BIOPHYSICA+SINICA+aims+scope+instructions+for+authors+APC
585,3-Q2,2,HEADACHE,HEADACHE,0017-8748,1526-4610,3.9,4.2,Q2,75/296,Q1,Q1,1.15,74.8,141.0,10582.0,CLINICAL NEUROLOGY,CLINICAL NEUROLOGY(JIF Q2/JCI Q1),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=HEADACHE+aims+scope+instructions+for+authors+APC
586,3-Q2,2,Journal of Diabetes Research,J DIABETES RES,2314-6745,2314-6753,3.5,4.8,Q2,82/191,Q2,Q2,0.71,57.3,141.0,8972.0,"ENDOCRINOLOGY & METABOLISM; MEDICINE, RESEARCH & EXPERIMENTAL","ENDOCRINOLOGY & METABOLISM(JIF Q2/JCI Q2) | MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q2/JCI Q2)",WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Journal+of+Diabetes+Research+aims+scope+instructions+for+authors+APC
