序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,X-黑名单,5,Scientific Reports,SCI REP-UK,2045-2322,2045-2322,4.9,4.8,Q1,21/140,Q1,Q1,1.13,85.4,47463.0,1061414.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=Scientific+Reports+aims+scope+instructions+for+authors+APC
2,X-黑名单,5,PLoS One,PLOS ONE,,1932-6203,2.8,3.3,Q2,48/140,Q2,Q2,0.8,66.1,18114.0,876526.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q2/JCI Q2),PUBLIC LIBRARY SCIENCE,PLOS,是,SCIE,全OA,专科刊费用因刊而异或走CAP；PLoS One已拉黑,高,https://plos.org/publish/fees/,https://www.google.com/search?q=PLoS+One+aims+scope+instructions+for+authors+APC
3,X-黑名单,5,MEDICINE,MEDICINE,0025-7974,1536-5964,2.0,2.1,Q2,113/336,Q2,Q2,0.45,66.5,5226.0,81919.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q2)",LIPPINCOTT WILLIAMS & WILKINS,Wolters Kluwer/LWW,是,SCIE,混合为主,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑",中,https://wkauthorservices.editage.com/open-access/,https://www.google.com/search?q=MEDICINE+aims+scope+instructions+for+authors+APC
