journal_name,abbreviation,publisher_hint,note
PLoS One,PLOS ONE,PUBLIC LIBRARY SCIENCE,综合OA大刊
Scientific Reports,SCI REP-UK,NATURE PORTFOLIO,综合OA大刊
MEDICINE,MEDICINE,LIPPINCOTT WILLIAMS & WILKINS,Baltimore综合OA；不是NEJM或Nature Medicine
